Exec_us,E2E_us,Jitter_us
1143.0,1143.0,1212.0
1130.0,1130.0,1230.0
1128.0,1128.0,1239.0
1130.0,1130.0,2949.0
1128.0,1128.0,1211.0
1155.0,1155.0,1214.0
1130.0,1130.0,1240.0
1132.0,1132.0,1225.0
1124.0,1124.0,1227.0
1139.0,1139.0,1205.0
